,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1136,1,0,1,12.0,pass,1619.0,3.0,0.0,0.4857655672738028,0.4434132008629488,4.193954258772834,0.0
1137,1,0,6,18.0,pass,1516.0,3.0,0.0,0.5340424500560513,0.3517006106394726,3.470378719159698,1.0
1138,1,0,8,84.0,pass,1624.0,3.0,12.0,0.1261383712869169,0.21469884499921008,-1.6012730056954754,0.0
1139,1,0,5,47.0,pass,989.0,3.0,3.0,0.3384025460020285,0.3696906472933894,2.167061628748287,1.0
1140,1,0,17,87.0,pass,1212.0,3.0,0.0,0.1147298464360659,0.17326546540788454,-2.128512222124608,1.0
1141,1,0,8,73.0,pass,900.0,3.0,-7.0,0.17860618648244986,0.2617396218027667,-0.3410876796720748,0.0
1142,1,0,6,35.0,pass,908.0,3.0,-7.0,0.4213220301346914,0.3670990146513425,2.8283198025811065,1.0
1143,1,0,10,40.0,pass,1215.0,3.0,-21.0,0.4077152994027814,0.3373489057924001,2.271200260084926,1.0
1144,1,0,4,28.0,pass,1082.0,3.0,30.0,0.4554519642312559,0.38991679909786103,3.326438031149572,1.0
1145,1,0,4,61.0,pass,1089.0,3.0,19.0,0.24583174392066826,0.35047069493260913,1.1494721053018322,1.0
1146,1,0,8,78.0,pass,1727.0,3.0,0.0,0.15440204597635238,0.2388314208808328,-1.0854795401181594,0.0
1147,1,0,10,45.0,pass,1024.0,3.0,-17.0,0.3695750964450932,0.3321468780558342,1.9453356807618565,0.0
1148,1,0,25,70.0,pass,1212.0,3.0,6.0,0.20673535808311366,0.21920386027925434,-0.8333317424257679,0.0
1149,1,0,4,63.0,pass,784.0,3.0,-7.0,0.2247816508068144,0.33337276570425395,1.0099683578614431,0.0
1150,1,0,19,32.0,pass,765.0,3.0,-3.0,0.4707508200310324,0.29965765834357544,2.4835326753739104,0.0
1151,0,0,18,51.0,pass,497.0,3.0,-10.0,0.2965397760562485,0.2584013296886051,1.1263040256875798,0.0
1152,1,1,8,45.0,pass,924.0,3.0,0.0,0.3616519939149429,0.34353567426298703,2.0656428505648785,1.0
1153,1,0,5,15.0,pass,274.0,3.0,-14.0,0.4745656385487636,0.3225392692160205,3.2796606286590086,0.0
1154,1,0,5,70.0,pass,1546.0,3.0,-5.0,0.19608259463900665,0.3009296545092562,0.03690281143695096,0.0
1155,0,0,6,76.0,pass,687.0,3.0,6.0,0.15181524359421938,0.2508816182130597,-0.35386263505229804,0.0
1156,1,0,14,60.0,pass,46.0,3.0,0.0,0.15979190971169993,0.09995077108338317,0.7448117838796909,0.0
1157,1,0,4,69.0,pass,1221.0,3.0,-11.0,0.19991323767744332,0.3213336511853891,0.3768868477744385,1.0
1158,1,0,8,21.0,pass,25.0,3.0,11.0,0.4373914853258456,0.17090765589374024,2.3352103948220795,0.0
1159,1,0,9,79.0,pass,95.0,3.0,0.0,0.0890689847026812,0.08282032765750975,0.24797897372082045,0.0
1160,1,0,5,10.0,pass,816.0,3.0,6.0,0.5621589979591777,0.3482981373929661,3.731366686499108,0.0
1161,0,0,8,8.0,pass,375.0,3.0,3.0,0.5363295774197235,0.3718547735988229,4.025605786860287,0.0
1162,1,0,10,92.0,pass,560.0,3.0,5.0,0.08052283215532391,0.15163022362276546,-1.7029569888547753,0.0
1163,1,0,10,19.0,pass,1228.0,3.0,0.0,0.5470814739255794,0.32705169863726197,3.2904506923321017,1.0
1164,1,0,2,2.0,pass,1414.0,3.0,10.0,0.31307612005909385,0.6408901553749797,5.217192715414251,0.0
1165,1,0,3,73.0,pass,1502.0,3.0,7.0,0.1756982784566994,0.31896300749194195,0.10014344570822732,1.0
1166,1,0,6,53.0,pass,236.0,3.0,17.0,0.20790402318989928,0.24383719751817184,1.2203012897962442,0.0
1167,1,0,1,1.0,pass,519.0,3.0,0.0,0.1968601871889406,0.7431918483956005,5.618029662187312,0.0
1168,1,0,15,47.0,pass,1196.0,3.0,7.0,0.3659685128123479,0.3068397607165972,1.5562916811056584,0.0
1169,1,0,8,78.0,pass,451.0,3.0,12.0,0.1226166128528812,0.1965984867241904,-0.5270157003918767,0.0
1170,1,0,7,53.0,pass,927.0,3.0,22.0,0.303543688922976,0.3366991856050192,1.5227995575889997,0.0
1171,1,0,5,68.0,pass,328.0,3.0,-9.0,0.14671238169440876,0.2259164866715219,0.4094916920238598,0.0
